"property"	"questionPattern_en"	"questionPattern_id"	"answerTemplateHtml_en"	"answerTemplateHtml_id"
"actedIn"	"What movies star (?<subject>.+)[,.?!]*"	"Film (apa|ap)( saja)? (yang|yg|yng) dibintangi (?<subject>.+)[,.?!]*"	"{{subject}} acted in {{object}}."	"{{subject}} membintangi {{object}}."
"created"	"What did (?<subject>.+) create[,.?!]*"	"(Apa|Ap|Apakah|Apa kah) (yang|yg|yng) dibuat (?<subject>.+)[,.?!]*"	"{{subject}} created {{object}}."	"{{subject}} membuat {{object}}."
"diedIn"	"Where did (?<subject>.+) die[,.?!]*"	"(Di mana|Dimana|Dmna|Dmn|Di mn|Dimn) (?<subject>.+) (meninggal dunia|meninggal|mati|wafat|tewas|terbunuh)[,.?!]*"	"{{subject}} died in {{object}}."	"{{subject}} meninggal dunia di {{object}}."
"diedOnDate"	"When did (?<subject>.+) die[,.?!]*"	"(Kapan|Kpn|Tanggal berapa|Tgl brp|Tanggal brp|Tgl berapa|Tgl brpa|Tanggal brpa) (?<subject>.+) (meninggal dunia|meninggal|mati|wafat|tewas|terbunuh)[,.?!]*"	"{{subject}} died on {{object}}."	"{{subject}} meninggal dunia pada {{object}}."
"directed"	"What movies did (?<subject>.+) direct[,.?!]*"	"(?<subject>.+) menyutradarai film apa[,.?!]*"	"{{subject}} directed {{object}}."	"{{subject}} menyutradarai {{object}}."
"graduatedFrom"	"Where did (?<subject>.+) graduate from[,.?!]*"	"(?<subject>.+) lulusan (mana|apa|mn|ap)[,.?!]*"	"{{subject}} graduated from {{object}}."	"{{subject}} lulusan {{object}}."
"happenedIn"	"Where did (?<subject>.+) happen[,.?!]*"	"(Di mana|Dimana|Dmna|Dmn|Di mn|Dimn) (?<subject>.+) terjadi[,.?!]*"	"{{subject}} happened in {{object}}."	"{{subject}} terjadi di {{object}}."
"hasAirportCode"	"What is the airport code of (?<subject>.+)[,.?!]*"	"(Apa|Ap|Apakah|Apa kah) kode bandara (?<subject>.+)[,.?!]*"	"Airport code of {{subject}} is '{{object}}'."	"Kode bandara {{subject}} adalah '{{object}}'."
"hasCapital"	"What is the capital city of (?<subject>.+)[,.?!]*"	"(Apa|Ap|Apakah|Apa kah) (ibu kota|ibukota) (?<subject>.+)[,.?!]*"	"Capital city of {{subject}} is {{object}}."	"Ibu kota {{subject}} adalah {{object}}."
"hasChild"	"Who are the children of (?<subject>.+)[,.?!]*"	"(Siapa|Sapa|Sp|Syp|Spa|Sypa)( saja| sj)? anak (?<subject>.+)[,.?!]*"	"Children of {{subject}} are {{object}}."	"Anak {{subject}} adalah {{object}}."
"hasCurrency"	"What is the currency of (?<subject>.+)[,.?!]*"	"(Apa|Ap|Apakah|Apa kah)( mata)? uang (?<subject>.+)[,.?!]*"	"Currency of {{subject}} is {{object}}."	"Mata uang {{subject}} adalah {{object}}."
"hasEconomicGrowth"	"How much is the economic growth of (?<subject>.+)[,.?!]*"	"(Berapa|Brpa|Brp) pertumbuhan ekonomi (?<subject>.+)[,.?!]*"	"Economic growth of {{subject}} is {{object}}."	"Pertumbuhan ekonomi {{subject}} adalah {{object}}."
"hasFamilyName"	"What is (?<subject>.+)\'s family name[,.?!]*"	"(Apa|Ap|Apakah|Apa kah) nama belakang (?<subject>.+)[,.?!]*"	"{{subject}}'s family name is {{object}}."	"Nama belakang {{subject}} adalah {{object}}."
"hasGDP"	"How much is the GDP of (?<subject>.+)[,.?!]*"	"(Berapa|Brpa|Brp) PDB (?<subject>.+)[,.?!]*"	"GDP of {{subject}} is {{object}}."	"PDB {{subject}} adalah {{object}}."
"hasGini"	"What is the gini index of (?<subject>.+)[,.?!]*"	"(Berapa|Brpa|Brp) indeks gini (?<subject>.+)[,.?!]*"	"Gini index of {{subject}} is {{object}}."	"Indeks gini {{subject}} adalah {{object}}."
"hasGivenName"	"What is (?<subject>.+)\'s given name[,.?!]*"	"(Apa|Ap|Siapa|Sapa|Sp|Syp|Spa|Sypa) nama depan (?<subject>.+)[,.?!]*"	"{{subject}}'s given name is {{object}}."	"Nama depan {{subject}} adalah {{object}}."
"hasHeight"	"How tall is (?<subject>.+)[,.?!]*"	"(Berapa|Brpa|Brp) (tinggi|tggi) (?<subject>.+)[,.?!]*"	"{{subject}}'s height is {{object}}."	"Tinggi {{subject}} adalah {{object}}."
"hasInflation"	"How much is (?<subject>.+)\'s inflation[,.?!]*"	"(Berapa|Brpa|Brp) inflasi (?<subject>.+)[,.?!]*"	"{{subject}}'s inflation is {{object}}."	"Inflasi {{subject}} adalah {{object}}."
"hasLanguageCode"	"What is the language code of (?<subject>.+)[,.?!]*"	"(Apa|Ap|Apakah|Apa kah) kode bahasa dari (?<subject>.+)[,.?!]*"	"The language code of {{subject}} is '{{object}}'."	"Kode bahasa dari {{subject}} adalah '{{object}}'."
"hasLatitude"	"What is (?<subject>.+)\'s latitude[,.?!]*"	"(Berapa|Brpa|Brp) lintang (?<subject>.+)[,.?!]*"	"{{subject}}'s latitude is {{object}}."	"Lintang {{subject}} adalah {{object}}."
"hasLongitude"	"What is (?<subject>.+)\'s longitude[,.?!]*"	"(Berapa|Brpa|Brp) bujur (?<subject>.+)[,.?!]*"	"{{subject}}'s longitude is {{object}}."	"Bujur {{subject}} adalah {{object}}."
"hasMotto"	"What is (?<subject>.+)'s motto[,.?!]*"	"(Apa|Ap|Apakah|Apa kah) (motto|moto) (?<subject>.+)[,.?!]*"	"{{subject}}'s motto is {{object}}."	"Motto {{subject}} adalah {{object}}."
"hasNumberOfPeople"	"How many people live in (?<subject>.+)[,.?!]*"	"(Berapa|Brpa|Brp) (populasi|penduduk|jumlah penduduk|jml penduduk|warga|rakyat|orang ada di|org ada di|jumlah orang|jumlah org|jml org|jml orang) (?<subject>.+)[,.?!]*"	"{{subject}}'s population is {{object}} people."	"Populasi {{subject}} adalah {{object}} orang."
"hasPoverty"	"How much is the poverty( rate) of (?<subject>.+)[,.?!]*"	"(Berapa|Brpa|Brp|Seberapa|Sbrpa|Sebrpa)( tingkat)? (kemiskinan|miskin)( rakyat| negara| warga| warganegara| warga negara| bangsa)? (?<subject>.+)[,.?!]*"	"Poverty rate of {{subject}} is {{object}}."	"Tingkat kemiskinan {{subject}} adalah {{object}}."
"hasRevenue"	"How much is the revenue of (?<subject>.+)[,.?!]*"	"(Berapa|Brpa|Brp)( tingkat)? pendapatan (?<subject>.+)[,.?!]*"	"Revenue of {{subject}} is {{object}}."	"Pendapatan {{subject}} adalah {{object}}."
"hasWebsite"	"Where is (?<subject>.+)\'s website[,.?!]*"	"(Apa|Ap|Apakah|Apa kah|Di mana|Dimana|Dmna|Dmn|Di mn|Dimn)( alamat) (website|web|site|homepage|situs|situs web) (?<subject>.+)[,.?!]*"	"{{subject}}'s website is at <a href=""{{object}}"">{{object}}</a>."	"Alamat website {{subject}} ada di <a href=""{{object}}"">{{object}}</a>."
"hasWeight"	"How much does (?<subject>.+) weight[,.?!]*"	"(Berapa|Brpa|Brp) berat (?<subject>.+)[,.?!]*"	"{{subject}} weights {{object}}."	"Berat {{subject}} adalah {{object}}."
"isCitizenOf"	"What is the citizenship of (?<subject>.+)[,.?!]*"	"(?<subject>.+) (warganegara|warga negara|orang|org|orng|urang|bangsa)? (mana|mna|mn)[,.?!]*"	"{{subject}} is a citizen of {{object}}."	"{{subject}} adalah warganegara {{object}}."
"isLeaderOf"	"What does (?<subject>.+) lead[,.?!]*"	"(?<subject>.+) (memimpin|pemimpin|pimpinan|mimpin) apa[,.?!]*"	"{{subject}} is a leader of {{object}}."	"{{subject}} adalah pemimpin {{object}}."
"isLocatedIn"	"Where is (?<subject>.+)[,.?!]*"	"(Di mana|Dimana|Dmna|Dmn|Di mn|Dimn)( lokasi| tempat| tmpt)? (?<subject>.+)( berada| ada)[,.?!]*"	"{{subject}} is in {{object}}."	"{{subject}} ada di {{object}}."
"isMarriedTo"	"Who did (?<subject>.+) marry[,.?!]*"	"(Siapa|Sapa|Sp|Syp|Spa|Sypa)( saja|sj)? (pasangan|suami|istri|kekasih|cinta|pujaan hati|yayang) (?<subject>.+)[,.?!]*"	"{{subject}} is married to {{object}}."	"{{subject}} menikahi {{object}}."
"livesIn"	"Where does (?<subject>.+) live[,.?!]*"	"(?<subject>.+) tinggal (di mana|dimana|dmna|dmn|dimn|dimna)[,.?!]*"	"{{subject}} lives in {{object}}."	"{{subject}} tinggal di {{object}}."
"occursSince"	"When did (?<subject>.+) start to occur[,.?!]*"	"(Kapan|Kpn|Tanggal berapa|Tgl brp|Tanggal brp|Tgl berapa|Tgl brpa|Tanggal brpa) (?<subject>.+) mulai terjadi[,.?!]*"	"{{subject}} occurred since {{object}}."	"{{subject}} terjadi sejak {{object}}."
"owns"	"What does (?<subject>.+) own[,.?!]*"	"(?<subject>.+) (memiliki|punya|mempunyai) (apa|ap)[,.?!]*"	"{{subject}} owns {{object}}."	"{{subject}} memiliki {{object}}."
"startsExistingOnDate"	"When did (?<subject>.+) start to exist[,.?!]*"	"(Kapan|Kpn|Tanggal berapa|Tgl brp|Tanggal brp|Tgl berapa|Tgl brpa|Tanggal brpa) (?<subject>.+) mulai ada[,.?!]*"	"{{subject}} existed since {{object}}."	"{{subject}} ada sejak {{object}}."
"wasBornIn"	"Where was (?<subject>.+) born[,.?!]*"	"(Di mana|Dimana|Dmna|Dmn|Di mn|Dimn) (?<subject>.+) (dilahirkan|lahir)[,.?!]*"	"{{subject}} was born in {{object}}."	"{{subject}} lahir di {{object}}."
"wasBornOnDate"	"When was (?<subject>.+) born[,.?!]*"	"(Kapan|Kpn|Tanggal berapa|Tgl brp|Tanggal brp|Tgl berapa|Tgl brpa|Tanggal brpa) (?<subject>.+) (dilahirkan|lahir)[,.?!]*"	"{{subject}} was born on {{object}}."	"{{subject}} lahir pada {{object}}."
"wasDestroyedOnDate"	"When was (?<subject>.+) destroyed[,.?!]*"	"(Kapan|Kpn|Tanggal berapa|Tgl brp|Tanggal brp|Tgl berapa|Tgl brpa|Tanggal brpa) (?<subject>.+) (dihancurkan|hancur|tutup|ditutup|dibongkar|bangkrut|pailit|musnah|sirna|lenyap|hilang)[,.?!]*"	"{{subject}} was destroyed on {{object}}."	"{{subject}} dihancurkan pada {{object}}."
"wroteMusicFor"	"What movies did (?<subject>.+) write the music for[,.?!]*"	"(?<subject>.+) (menciptakan|nyiptain) lagu (untuk|utk|untk|buat|bwt) film (apa|ap)[,.?!]*"	"{{subject}} wrote music for {{object}}."	"{{subject}} menciptakan lagu untuk {{object}}."
